event_day,event_hour,topics,city,country
2017-03-19,15:30,Expat,Fort Myers,us
2017-03-19,15:30,German Culture,Fort Myers,us
2017-03-19,15:30,English as a Second Language,Fort Myers,us
2017-03-19,15:30,German Language,Fort Myers,us
2017-03-19,15:30,Social Networking,Fort Myers,us
2017-03-19,15:30,International Relations,Fort Myers,us
2017-03-19,15:30,International and Exchange Students,Fort Myers,us
2017-03-25,00:00,Settlers of Catan,Dover,us
2017-03-25,00:00,Social,Dover,us
2017-03-25,00:00,Social Networking,Dover,us
2017-03-25,00:00,Euro Games,Dover,us
2017-03-25,00:00,Card Games,Dover,us
2017-03-25,00:00,Magic: The Gathering,Dover,us
2017-03-25,00:00,Strategy Games,Dover,us
2017-03-25,00:00,Gaming,Dover,us
2017-03-25,00:00,Board Games,Dover,us
2017-03-25,00:00,Dominion Board Game,Dover,us
2017-03-25,00:00,tabletop board games,Dover,us
2017-03-25,00:00,Cooperative Board Games,Dover,us
2017-03-25,00:00,Strategy Board Games,Dover,us
2017-03-25,12:00,Fun Times,Daegu,kr
2017-03-25,12:00,Social Networking,Daegu,kr
2017-03-25,12:00,Spanish Language,Daegu,kr
2017-03-25,12:00,Language Exchange,Daegu,kr
2017-03-25,12:00,International and Exchange Students,Daegu,kr
2017-03-25,12:00,Language & Culture,Daegu,kr
2017-03-25,12:00,International Friends,Daegu,kr
2017-03-25,12:00,Culture Exchange,Daegu,kr
2017-03-25,12:00,Korean Language,Daegu,kr
2017-03-25,12:00,French Language,Daegu,kr
2017-03-25,12:00,New In Town,Daegu,kr
2017-03-25,12:00,Coffee,Daegu,kr
2017-03-25,12:00,English Language,Daegu,kr
2017-03-20,09:30,Women's Fitness,Sydney,au
2017-03-20,09:30,Healthy Living,Sydney,au
2017-03-20,09:30,Wellness,Sydney,au
2017-03-20,09:30,Nutrition,Sydney,au
2017-03-20,09:30,Exercise,Sydney,au
2017-03-20,09:30,Outdoor  Fitness,Sydney,au
2017-03-20,09:30,Personal Training,Sydney,au
2017-03-20,09:30,Group Fitness Training,Sydney,au
2017-03-20,09:30,Fitness,Sydney,au
2017-03-20,09:30,Social Networking,Sydney,au
2017-03-20,09:30,Expat,Sydney,au
2017-03-20,09:30,Singles,Sydney,au
2017-03-20,09:30,Running,Sydney,au
